CLIENTS=12 DURATION_S=10 MEAN_ELAPSED_S=10.379 TOTAL_RECEIVED=402761692 AGGREGATE_TPS=38827683.7 PER_CONSUMER_TPS=3235640.3 SAMPLES=402761692 P50_US=6887.1 P99_US=182462.6 P999_US=565378.4 MAX_US=714457.5
  client[0] received=33556106 elapsed_s=10.237
  client[1] received=34271666 elapsed_s=10.000
  client[2] received=33556076 elapsed_s=10.424
  client[3] received=33555318 elapsed_s=10.497
  client[4] received=33555586 elapsed_s=10.026
  client[5] received=33555202 elapsed_s=10.526
  client[6] received=33555005 elapsed_s=10.333
  client[7] received=33555880 elapsed_s=10.563
  client[8] received=33555700 elapsed_s=10.597
  client[9] received=33555204 elapsed_s=10.640
  client[10] received=33556265 elapsed_s=10.674
  client[11] received=32933684 elapsed_s=10.027
